"global_index","worker","episode","episode_index","name","region","address","address_display","category","card_menu","menus","output_file","output_path"
"11","1","EP.03","2","윤옥연할매떡볶이","대구 수성구","대구 수성구 들안로77길 11 (수성동4가 1120-2)","대구 수성구 들안로77길 11","분식","떡볶이","떡볶이 (2,000원) / 만두4개 (1,000원) / 김밥 (3,000원) / 순대 (4,000원) / 오뎅3개 (1,000원) / 라면 (4,000원) / 사리 (1,500원)","002_윤옥연할매떡볶이.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.03\002_윤옥연할매떡볶이.png"
"12","1","EP.03","3","중앙떡볶이","대구 중구","대구 중구 동성로2길 81 (동성로2가 70-1)","대구 중구 동성로2길 81","종합분식","떡볶이","","003_중앙떡볶이.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.03\003_중앙떡볶이.png"
"13","1","EP.03","4","이가네떡볶이","부산 중구","부산 중구 부평1길 48 (부평동2가 16)","부산 중구 부평1길 48","떡볶이","떡볶이튀김세트","떡볶이튀김세트 (5,000원) / 떡3+오뎅2 (5,000원) / 튀김(1인분) (5,000원) / 핫도그 (1,000원) / 오뎅 3개 (3,000원)","004_이가네떡볶이.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.03\004_이가네떡볶이.png"
"14","1","EP.03","5","상국이네","부산 해운대구","부산 해운대구 구남로41번길 40-1 (중동 1394-42)","부산 해운대구 구남로41번길 40-1","종합분식","떡볶이","","005_상국이네.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.03\005_상국이네.png"
"15","1","EP.03","6","마포원조떡볶이","서울 마포구","서울 마포구 도화2길 3 (도화동 345-4)","서울 마포구 도화2길 3","떡볶이","떡볶이","떡볶이 (3,500원) / 순대 (3,500원) / 김밥 (3,500원) / 오뎅 3개 (1,000원) / 튀김3개 (2,000원) / 계란3개 (2,000원)","006_마포원조떡볶이.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.03\006_마포원조떡볶이.png"
"16","1","EP.03","7","쌀떡볶이나라","서울 성북구","서울 성북구 아리랑로 38 (동선동5가 141-2)","서울 성북구 아리랑로 38","떡볶이","쌀떡볶이","쌀떡볶이 (3,000원) / 김밥 (3,500원) / 라면 (3,500원) / 치즈떡볶이 (5,000원) / 튀김우동 (5,500원) / 라볶이 (5,500원) / 탕수육/새우탕수육 소 (6,500원) / 탕수육/새우탕수육 중 (9,500원) / 오뎅 (2,000원) / 계란 (2,000원) / 물오징어튀김 (3,500원) / 고구마튀김 (3,500원)","007_쌀떡볶이나라.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.03\007_쌀떡볶이나라.png"
"17","1","EP.04","1","에버그린","경기 안양시","경기 안양시 동안구 인덕원로 29-16 (관양동 1487-28)","경기 안양시 동안구 인덕원로 29-16","돈가스","에버그린돈까스 정식","에버그린돈까스 정식 (14,000원)","001_에버그린.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.04\001_에버그린.png"
"18","1","EP.04","2","미림돈까스","대구 중구","대구 중구 국채보상로93길 6 (대신동 138)","대구 중구 국채보상로93길 6","돈가스","돈까스 보통","돈까스 보통 (10,000원) / 돈까스 곱배기 (15,000원) / 생선까스 (15,000원) / 어묵우동 (8,000원) / 냄비우동 (5,000원) / 모밀국수(여름전용) (8,000원) / 맥주 (5,000원) / 음료수 (2,000원) / 공기밥 (1,000원)","002_미림돈까스.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.04\002_미림돈까스.png"
"19","1","EP.04","3","아줌마돈까스","대전 중구","대전 중구 충무로 124 (대사동 69-59)","대전 중구 충무로 124","돈가스","돈까스","","003_아줌마돈까스.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.04\003_아줌마돈까스.png"
"20","1","EP.04","4","박용채의대박터진돈까스","부산 북구","부산 북구 덕천로304번길 18 (만덕동 840-7)","부산 북구 덕천로304번길 18","돈가스","돈까스+밥","돈까스+밥 (14,000원) / 돈까스 (13,500원) / 쫀득 손수제비 (9,000원) / 쫄면 (10,000원)","004_박용채의대박터진돈까스.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.04\004_박용채의대박터진돈까스.png"
"21","1","EP.04","5","잉글랜드돈까스","인천 중구","인천 중구 우현로90번길 7 (인현동 26-8)","인천 중구 우현로90번길 7","돈가스","옛날 경양식돈가스 1981","옛날 경양식돈가스 1981 (13,000원) / 원조 경양식 치즈돈가스 (16,000원) / 반까스(돈까스+생선까스) (15,500원) / 부드럽고 고소한 생선까스 (15,000원) / 1981왕돈까스 (19,000원)","005_잉글랜드돈까스.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.04\005_잉글랜드돈까스.png"
"22","1","EP.05","1","벌집","강원 강릉시","강원 강릉시 경강로2069번길 15 (임당동 60-2)","강원 강릉시 경강로2069번길 15","한식","장.손칼국수","장.손칼국수 (9,000원) / 공기밥 (1,000원)","001_벌집.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.05\001_벌집.png"
"23","1","EP.05","2","현대장칼국수","강원 강릉시","강원 강릉시 임영로182번길 7-1 (임당동 187-11)","강원 강릉시 임영로182번길 7-1","칼국수,만두","장칼국수","장칼국수 (9,000원) / 현대장칼국수 신메뉴 옹심이장칼국수 입니다. (11,000원) / 맑은칼국수 (9,000원) / 장국밥 (9,000원) / 맑은국밥 (9,000원) / 장칼국수 곱배기 (10,000원) / 현대장칼국수 신메뉴 옹심이장칼국수 입니다. (12,000원) / 고기만두/김치만두/반반 (7,000원) / 공기밥 (1,000원) / 콜라/사이다 (2,000원)","002_현대장칼국수.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.05\002_현대장칼국수.png"
"24","1","EP.05","3","옛날손장칼국수","강원 춘천시","강원 춘천시 영서로 3045-3 (사농동 281-14)","강원 춘천시 영서로 3045-3","칼국수,만두","된장칼국수","","003_옛날손장칼국수.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.05\003_옛날손장칼국수.png"
"25","1","EP.05","4","공주분식","대전 중구","대전 중구 문창로 97 (문창동 37-2)","대전 중구 문창로 97","종합분식","칼국수","","004_공주분식.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.05\004_공주분식.png"
"26","1","EP.05","5","스마일칼국수","대전 중구","대전 중구 보문로230번길 82 (대흥동 440-1)","대전 중구 보문로230번길 82","칼국수,만두","비빔만두","비빔만두 (12,000원) / 고기김치전 (13,000원) / 수육 소 (20,000원) / 수육 대 (25,000원) / 손칼국수 (8,000원) / 김밥 2줄 (7,000원) / 손콩국수(여름) (9,000원) / 비빔손칼국수 (9,000원)","005_스마일칼국수.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.05\005_스마일칼국수.png"
"27","1","EP.06","1","골목안채","경기 남양주시","경기 남양주시 다산중앙로82번안길 131-32 (다산동 6174-12)","경기 남양주시 다산중앙로82번안길 131-32","한식","낙지볶음 소","낙지볶음 소 (25,900원) / 낙지볶음 중 (30,900원) / 낙지볶음 대 (36,900원) / 바지락칼국수 (10,900원) / 공기밥 (1,000원) / 진저에일 하이볼 (6,900원) / 연태 하이볼 (6,900원) / 얼그레이하이볼 (7,500원)","001_골목안채.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.06\001_골목안채.png"
"28","1","EP.06","2","소문난원조조방낙지","부산 동래구","부산 동래구 명륜로94번길 37 (명륜동 400-1)","부산 동래구 명륜로94번길 37","","낙지+곱창+새우+공기밥","낙지+곱창+새우+공기밥 (12,000원) / 낙지+새우+공기밥 (12,000원) / 낙지+곱창+공기밥 (12,000원) / 우동,당면,라면,감자면 (2,000원) / 낙지+공기밥 (11,000원) / 새우+공기밥 (13,000원) / 곱창+공기밥 (13,000원)","002_소문난원조조방낙지.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.06\002_소문난원조조방낙지.png"
"29","1","EP.06","3","원조할매낙지","부산 부산진구","부산 부산진구 골드테마길 10 (범천동 837-43)","부산 부산진구 골드테마길 10","낙지요리","낙지+밥","낙지+밥 (변동) / 낙지+새우+밥 (11,000원) / 낙지+곱창(소)+밥 (11,000원) / 낙+곱+새우(1인)+밥 (11,000원)","003_원조할매낙지.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.06\003_원조할매낙지.png"
"30","1","EP.06","4","서린낙지","서울 종로구","서울 종로구 종로 19 (청진동 24)","서울 종로구 종로 19","낙지요리","낙지볶음","낙지볶음 (26,000원) / 베이컨쏘세지구이 (19,000원) / 조개탕 (18,000원) / 계란말이 (8,500원) / 쏘세지추가 (10,000원) / 베이컨추가 (10,000원) / 공기밥 (1,000원)","004_서린낙지.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.06\004_서린낙지.png"
"31","1","EP.07","1","천황식당","경남 진주시","경남 진주시 촉석로207번길 3 (대안동 4-1)","경남 진주시 촉석로207번길 3","한식","부드러운 제철나물과 바다내음나는 보탕, 우리집 비법 고추장에 신선한 한우육회를 얹었습니다.","부드러운 제철나물과 바다내음나는 보탕, 우리집 비법 고추장에 신선한 한우육회를 얹었습니다. (13,000원) / 한우 불고기를 석쇠에 직화하여 그윽한 풍미가 있습니다. (30,000원) / 술안주 (50,000원) / 한우 육수 육전 수육 그리고 메밀로 정성을 다해 직접 제면합니다. (13,000원) / 오전 6시~9시까지 판매 (5,000원) / 소고기 그 자체 농후한 고기향기 한우 사태 양지 스지입니다 (30,000원) / 오직 한우 노란 달걀 옷 입으면 더 고소합니다 (30,000원)","001_천황식당.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.07\001_천황식당.png"
"32","1","EP.07","2","화랑식당","전남 함평군","전남 함평군 함평읍 시장길 96 (기각리 982-34)","전남 함평군 함평읍 시장길 96","비빔밥","육회비빔밥은 익혀서도 가능합니다. (같이 나오는 돼지비계는 취향에 따라 넣어드시면 됩니다)","육회비빔밥은 익혀서도 가능합니다. (같이 나오는 돼지비계는 취향에 따라 넣어드시면 됩니다) (13,000원) / 생고기 대(430g) (60,000원) / 새우살 (45,000원) / 2인분이상주문 (38,000원) / 2인분이상주문 (42,000원) / 육회양이 더 많이 들어갑니다 (18,000원) / 생고기 소(280g) (40,000원) / 육회 대(430g) (60,000원) / 육회 소(300g) (40,000원) / 육회 250 + 낙지탕탕이 (낙지시세에 따라 변동있음, 금어기 판매불가) (70,000원)","002_화랑식당.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.07\002_화랑식당.png"
"33","1","EP.07","3","시장비빔밥","전북 익산시","전북 익산시 황등면 황등7길 25-8 (황등리 584-14)","전북 익산시 황등면 황등7길 25-8","비빔밥","육회사리추가","육회사리추가 (10,000원) / 육회비빔밥 곱배기 (14,000원) / 육회비빔밥 보통 (11,000원) / 선지순대국밥 (9,000원) / 모듬순대 (10,000원) / 막걸리 3000 (4,000원)","003_시장비빔밥.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.07\003_시장비빔밥.png"
"34","1","EP.07","4","진미식당","전북 익산시","전북 익산시 황등면 황등로 158 (황등리 902-11)","전북 익산시 황등면 황등로 158","향토음식","사골국물에 토렴하는 황등식 비빈밥 직접 만든 고추장양념과 맛간장 양념!","사골국물에 토렴하는 황등식 비빈밥 직접 만든 고추장양념과 맛간장 양념! (14,000원) / 사골국물에 토렴하는 황등식 비빈밥 직접 만든 고추장양념과 맛간장 양념! (12,000원) / 토렴 소불고기 비빈밥(고추장) (11,000원) / 매운 음식 못 먹는 어린이식사 추천! (11,000원) / 순대 국밥 (9,000원) / 한우육회 (38,000원) / 날씬이고구마순대 (13,000원) / 선지국 (5,000원)","004_진미식당.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.07\004_진미식당.png"
"35","1","EP.08","1","양동통닭","광주 서구","광주 서구 천변좌로 260-1 (양동 5-106)","광주 서구 천변좌로 260-1","치킨,닭강정","화학 재료 및 인공 감미료를 넣지 않고, 국내 신선육과 여러 곡물 가루의 재료를 면실유에 요리하여 제공하고 있으며, 염지 및 카레가루가 들어가지 않은 저염식 통닭.","화학 재료 및 인공 감미료를 넣지 않고, 국내 신선육과 여러 곡물 가루의 재료를 면실유에 요리하여 제공하고 있으며, 염지 및 카레가루가 들어가지 않은 저염식 통닭. (23,000원) / 반반 치킨 (25,000원) / 기본 한 마리에 따라들어가는 똥집을 추가로 튀겨드려요 튀김옷X (8,000원) / 양념 치킨 (25,000원) / 후라이드 반마리 (15,000원) / 양념 반마리 (16,000원)","001_양동통닭.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.08\001_양동통닭.png"
"36","1","EP.08","2","희망통닭","부산 동래구","부산 동래구 명륜로98번길 94 (낙민동 259)","부산 동래구 명륜로98번길 94","치킨,닭강정","통구이","통구이 (23,000원) / 후라이드 (23,000원) / 양념통닭 (24,000원) / 반반통닭(후라이드반 양념반) (24,000원) / 반반통닭(후라이드반 고추간장반) (24,000원) / 순살후라이드 (25,000원) / 순살양념통닭 (26,000원) / 순살반반통닭(후라이드반 양념반) (26,000원) / 순살반반통닭(후라이드반 고추간장반) (26,000원) / 순살반반통닭(양념반 고추간장반) (26,000원) / 칠성사이다(1.25L) (3,000원) / 펩시콜라(1.25L) (3,000원) / 샐러드 (1,000원) / 펩시콜라 500ml (2,000원) / 칠성사이다 500ml (2,000원)","002_희망통닭.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.08\002_희망통닭.png"
"37","1","EP.08","3","거인통닭","부산 중구","부산 중구 중구로47번길 34 (부평동2가 11-2)","부산 중구 중구로47번길 34","치킨,닭강정","치킨","","003_거인통닭.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.08\003_거인통닭.png"
"38","1","EP.08","4","동우통닭","제주 제주시","제주 제주시 복지로 72 (도남동 642-1)","제주 제주시 복지로 72","치킨,닭강정","치킨","","004_동우통닭.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.08\004_동우통닭.png"
"39","1","EP.08","5","백양닭집","제주 제주시","제주 제주시 서문로6길 7 (용담1동 157-6)","제주 제주시 서문로6길 7","치킨,닭강정","당일생산한 제주산 닭고기와 새기름으로 갓튀겨낸 시장통닭","당일생산한 제주산 닭고기와 새기름으로 갓튀겨낸 시장통닭 (17,000원) / 직접만든 수제 소스 (1,000원)","005_백양닭집.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.08\005_백양닭집.png"
"40","1","EP.08","6","시골통닭","충남 부여군","충남 부여군 부여읍 중앙로5번길 14-9 (구아리 173)","충남 부여군 부여읍 중앙로5번길 14-9","치킨,닭강정","모래주머니 소","모래주머니 소 (8,000원) / 닭볶음탕 소 (30,000원) / 삼계탕 (15,000원) / 소 12000 (18,000원) / 닭계장 (8,000원) / 모래주머니-대 (15,000원) / 무뼈닭발 (15,000원) / 파닭 (19,000원) / 인삼튀김 (20,000원) / 닭볶음탕-대 (40,000원) / 시골찜닭 (30,000원) / 시골백숙 (55,000원) / 닭죽 (7,000원) / 통닭 소 (12,000원) / 냄비삼계탕 (16,000원)","006_시골통닭.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.08\006_시골통닭.png"
"41","1","EP.09","1","복성반점","부산 사하구","부산 사하구 하신중앙로 289 (하단동 605-38)","부산 사하구 하신중앙로 289","중식당","사천짜장","사천짜장 (11,000원) / 사천짬뽕 (12,000원) / 돈부리 (12,000원) / 오무라이스 (11,000원) / 삼선볶음밥 (12,000원) / 짜장면 (7,000원) / 짬뽕 (10,000원) / 기스면 (12,000원) / 볶음밥 (10,000원) / 짜장밥 (10,000원) / 잡채밥 (11,000원) / 군만두 (7,000원) / 우동 (10,000원) / 간짜장 (10,000원) / 울면 (10,000원)","001_복성반점.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.09\001_복성반점.png"
"42","1","EP.09","2","중화원","서울 은평구","서울 은평구 통일로66길 10-16 (불광동 281-128)","서울 은평구 통일로66길 10-16","중식당","짜장면","짜장면 (6,000원) / 면이 얇은것이 특징입니다. 약간 매워요. 매운걸 못 드시는 분들은 안맵게 주문해 주세요 (7,000원) / 볶음밥 (8,000원) / 해물누룽지탕 (25,000원) / 잡탕밥 (14,000원) / 삼선볶음밥 (10,000원) / 삼선짬뽕 (10,000원) / 삼선울면 (10,000원) / 삼선간짜장 (10,000원) / 탕수육 소 (16,000원) / 탕수육 중 (23,000원) / 양장피 (32,000원) / 팔보채 (32,000원) / 류산슬 (32,000원) / 유슬짜장 (7,000원)","002_중화원.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.09\002_중화원.png"
"43","1","EP.09","3","진미반점","전북 전주시","전북 전주시 덕진구 명주3길 19-2 (인후동2가 1551-2)","전북 전주시 덕진구 명주3길 19-2","중식당","된장해물짜장","된장해물짜장 (11,000원) / 된장해물짬뽕 (11,000원) / 해물물짜장 (10,000원) / 잡채밥 (10,000원) / 탕수육(소) (20,000원) / 된장쟁반해물짜장(2인) (24,000원) / 일반쟁반해물짜장(2인) (24,000원) / 된장차돌박이짜장 (14,000원) / 짜장 (7,000원) / 짬뽕 (9,000원) / 간짜장 (9,000원) / 해물우동 (10,000원) / 일반쟁반짜장(2인) (24,000원) / 차돌된장쟁반해물짜장(2인분) (32,000원) / 볶음밥 (9,000원) / 짬뽕밥 (10,000원) / 간짜장밥 (10,000원) / 된장짜장밥 (11,000원) / 미니 탕수육 (16,000원) / 탕수육(중) (25,000원) / 탕수육(대) (30,000원) / 미니 깐풍육 (20,000원) / 미니 탕수육+짜장면+짬뽕 (32,000원) / 미니 탕수육+된장짜장+된장짬뽕 (38,000원) / 미니 탕수육+일반쟁반자장2인분(2인분) (40,000원) / 미니 탕수육+된장쟁반자장2인분(2인분) (40,000원) / 미니 탕수육+잡채밥+볶음밥 (35,000원) / 미니 탕수육 + 된장짜장 (27,000원) / 미니 탕수육 +된장해물짬뽕 (27,000원) / 미니 탕수육 +해물물짜장 (26,000원) / 미니 탕수육 + 된장차돌박이짜장 (30,000원) / 미니 탕수육 +된장차돌박이짬뽕 (30,000원) / 탐스제로(오렌지)355ml (2,000원) / 펩시콜라제로(355ml) (2,000원) / 펩시콜라(355ml) (2,000원) / 칠성사이다(355ml) (2,000원) / 칠성사이다(500ml) (3,000원)","003_진미반점.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.09\003_진미반점.png"
"44","1","EP.09","4","양자강","전북 정읍시","전북 정읍시 우암로 57 (수성동 668-1)","전북 정읍시 우암로 57","중식당","비빔짬뽕","","004_양자강.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.09\004_양자강.png"
"45","1","EP.09","5","아서원","제주 서귀포시","제주 서귀포시 칠십리로 699 (하효동 876-6)","제주 서귀포시 칠십리로 699","중식당","곱 9500","곱 9500 (9,000원) / 짬뽕밥 (9,500원) / 곱 6500 (6,000원) / 곱 22000 (17,000원) / 만두 (5,000원)","005_아서원.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.09\005_아서원.png"
"46","1","EP.10","1","명천식당슈퍼","전북 김제시","전북 김제시 공덕면 청공로 680-1 (제말리 산3-5)","전북 김제시 공덕면 청공로 680-1","한식","제육볶음","제육볶음 (10,000원) / 생삼겹 (14,000원) / 갈비찜(4인) (48,000원) / 김치찌개 (8,000원)","001_명천식당슈퍼.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.10\001_명천식당슈퍼.png"
"47","1","EP.10","2","태광식당","제주 제주시","제주 제주시 탑동로 144 (용담일동 119)","제주 제주시 탑동로 144","한식","돼지주물럭식사","돼지주물럭식사 (12,000원) / 된장뚝배기 (15,000원) / 옥돔구이식사 (15,000원) / 한치물회식사 (20,000원) / 전복구이 (30,000원) / 한치불고기 (20,000원) / 꼼장어주물럭 (20,000원) / 소염통주물럭 (15,000원) / 한치물회 (30,000원) / 자리물회 (30,000원) / 소라물회 (30,000원) / 홍해삼물회 (30,000원) / 한치주물럭 (20,000원) / 돼지고기주물럭 (15,000원) / 자리물회식사 (15,000원)","002_태광식당.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.10\002_태광식당.png"
"48","1","EP.10","3","대추나무집","충북 청주시","충북 청주시 청원구 사천로18번길 5 (사천동 73-2)","충북 청주시 청원구 사천로18번길 5","한식","음료","음료 (2,000원) / 짜글 포장 2인분 (26,000원) / 수육1인분 (15,000원) / 갈비 짜글짜글찌개 (16,000원) / 촌돼지김치찌개 (14,000원) / 촌돼지짜글찌개 (14,000원) / 촌돼지수육(2인분) (26,000원) / 소주 (5,000원)","003_대추나무집.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.10\003_대추나무집.png"
"49","1","EP.10","4","보글보글촌","충북 청주시","충북 청주시 서원구 신율로 70-1 (개신동 511)","충북 청주시 서원구 신율로 70-1","한식","황태회냉면","황태회냉면 (8,000원) / 짜글짜글찌개 (12,000원) / 김치찌개 (12,000원) / 새뱅이찌개 (11,000원) / 홍굴부추칼국수 (8,000원) / 칡냉면 (7,000원)","004_보글보글촌.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.10\004_보글보글촌.png"
"50","1","EP.11","1","단골집","경남 밀양시","경남 밀양시 상설시장3길 18-16 (내일동 174-1)","경남 밀양시 상설시장3길 18-16","국밥","돼지국밥","","001_단골집.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.11\001_단골집.png"
"51","1","EP.11","2","재기돼지국밥","부산 영도구","부산 영도구 절영로49번길 25 (남항동1가 171-10)","부산 영도구 절영로49번길 25","국밥","돼지국밥","돼지국밥 (10,000원) / 순대국밥 (10,000원) / 섞어국밥 (10,000원) / 따로국밥 (11,000원) / 수육백반 (13,000원) / 수육 대 (35,000원) / 모듬수육 소 (25,000원) / 순대/내장/머리고기 대 (20,000원) / 순대/내장/머리고기 소 (10,000원) / 내장국밥 (10,000원)","002_재기돼지국밥.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.11\002_재기돼지국밥.png"
"52","1","EP.11","3","삼번집","전북 전주시","전북 전주시 완산구 풍남문1길 9-6 (전동 303-182)","전북 전주시 완산구 풍남문1길 9-6","국밥","콩나물국밥","콩나물국밥 (8,000원) / 오징어(무침)덮밥 (9,000원) / 오징어무침 (8,000원) / 오징어숙회 (8,000원) / 오징어쫑쫑이 (6,000원) / 모주 1잔 (2,000원) / 모주 1병 (12,000원) / 공기밥 (1,000원)","003_삼번집.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.11\003_삼번집.png"
"53","1","EP.11","4","한일식당","충남 예산군","충남 예산군 삽교읍 삽교역로 58 (신가리 20-14)","충남 예산군 삽교읍 삽교역로 58","생선구이","소머리국밥","","004_한일식당.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.11\004_한일식당.png"
