episodeNumber,episodeLabel,uploadDate,videoTitle,videoUrl,contentType,restaurantId,restaurantName,country,region,address,category,representativeMenu,menusAndPrices,lat,lng,phone,operationStatus,operationSummary,weeklyHours,kakaoPlaceId,placeUrl,rating,reviewCount,facilities,officialDescriptionAddress,verification,notes
9,9화,2022-04-25,[sub] 성시경의 먹을텐데 l 부영각 부추 복어살,https://www.youtube.com/watch?v=iPVLZhuog-g,restaurant,mogeultende_956416a15aad,부영각,대한민국,서울 마포구,서울 마포구 토정로 268,중국요리,부추복어살 (소),"부추복어살 (소) 35,000원 | 유린기 (소) 35,000원 | 잡채밥 10,000원 | 중국식냉면 15,000원",37.54251073,126.93950345,02-715-7095,영업 전,11:00 오픈,수 11:00 ~ 21:00 | 목 11:00 ~ 21:00 | 금 11:00 ~ 21:00 | 토 11:00 ~ 21:00 | 일 11:00 ~ 21:00 | 월 11:00 ~ 21:00 | 화 11:00 ~ 21:00,10470081,https://place.map.kakao.com/10470081,3.6,294,"{""reservation"":true,""delivery"":false,""accessible"":false,""takeout"":true,""parking"":true,""pets"":false,""wifi"":false}",서울 마포구 토정로 268 (용강동 494-61),official_description,
10,10화,2022-04-29,[sub] 성시경의 먹을텐데 l 성수 감자탕,https://www.youtube.com/watch?v=MAIrp4WYAx4,restaurant,mogeultende_a6263a556d67,소문난성수감자탕,대한민국,서울 성동구,서울 성동구 연무장길 45,감자탕,감자탕(대),"감자탕(대) 49,000원 | 감자국식사(뚝배기) (일반) 12,000원 | 감자탕(중) 37,000원 | 감자탕(소) 32,000원",37.54283084,127.05440458,02-465-6580,영업 중,24시간 영업,수 00:00 ~ 24:00 | 목 00:00 ~ 24:00 | 금 00:00 ~ 24:00 | 토 00:00 ~ 24:00 | 일 00:00 ~ 24:00 | 월 00:00 ~ 24:00 | 화 00:00 ~ 24:00,13289056,https://place.map.kakao.com/13289056,2.9,2651,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":true,""parking"":false,""pets"":false,""wifi"":true}",서울 성동구 연무장길 45 (성수동2가 315-100),official_description,
11,11화,2022-05-03,성시경의 먹을텐데 l 문천식과 육개장,https://www.youtube.com/watch?v=aliPr4O2T5s,restaurant,mogeultende_71a66beca5ef,육개옥,대한민국,서울 강남구,서울 강남구 봉은사로 167,국밥,"한우육개장, 양지온반, 한우수육, 수제동그랑땡","한우육개장 11,000원 | 양지온반 12,000원 | 막국수 8,000원 | 한우수육(소) 33,000원 | 한우수육(중) 55,000원 | 한우수육(대) 75,000원 | 수제동그랑땡 22,000원",37.50723857,127.03225627,02-516-9181,영업 전,11:00 오픈,수 11:00 ~ 22:00 / 21:00 라스트오더 | 목 11:00 ~ 22:00 / 21:00 라스트오더 | 금 11:00 ~ 22:00 / 21:00 라스트오더 | 토 11:00 ~ 22:00 / 21:00 라스트오더 | 일 11:00 ~ 22:00 / 21:00 라스트오더 | 월 11:00 ~ 22:00 / 21:00 라스트오더 | 화 11:00 ~ 22:00 / 21:00 라스트오더,1808543028,https://place.map.kakao.com/1808543028,3.5,220,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":false,""parking"":true,""pets"":false,""wifi"":false}",서울 강남구 봉은사로 167 (논현동 206-5),official_description,
12,12화,2022-05-06,성시경의 먹을텐데 l 가연 북어구이,https://www.youtube.com/watch?v=pGNZyAYzvD4,restaurant,mogeultende_6765e206c271,가연,대한민국,서울 강남구,서울 강남구 테헤란로51길 15,국수,손국시,"손국시 11,000원 | 북어구이 28,000원 | 호박전 16,000원 | 부추장떡 16,000원",37.50485534,127.04604403,02-566-6312,영업 전,11:30 오픈,수 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임 | 목 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임 | 금 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임 | 토 11:00 ~ 15:00 | 일 휴무일 | 월 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임 | 화 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임,8115170,https://place.map.kakao.com/8115170,3.7,30,"{""reservation"":true,""delivery"":true,""accessible"":false,""takeout"":true,""parking"":false,""pets"":false,""wifi"":true}",서울 강남구 테헤란로51길 15 남경선능빌딩 1층 (역삼동 704-50),official_description,
13,13화,2022-05-10,성시경의 먹을텐데 l 등골과 우개장,https://www.youtube.com/watch?v=vzq1jF3sRtY,restaurant,mogeultende_f329b0f1a87e,우정,대한민국,서울 강남구,서울 강남구 도산대로55길 23,"육류,고기",한마리 수육(중),"한마리 수육(중) 98,000원 | 한우스지된장전골 1인 27,000원 | 사골양지곰탕 18,000원 | 한우 육전 35,000원",37.52506694,127.04034125,0507-1392-1808,영업 전,11:00 오픈,수 11:00 ~ 23:00 / 15:00 ~ 17:00 브레이크타임 / 21:45 라스트오더 | 목 11:00 ~ 23:00 / 15:00 ~ 17:00 브레이크타임 / 21:45 라스트오더 | 금 11:00 ~ 22:00 | 토 11:00 ~ 23:00 / 15:00 ~ 17:00 브레이크타임 / 21:45 라스트오더 | 일 11:00 ~ 22:00 / 15:00 ~ 17:00 브레이크타임 / 21:45 라스트오더 | 월 11:00 ~ 23:00 / 15:00 ~ 17:00 브레이크타임 / 21:45 라스트오더 | 화 11:00 ~ 23:00 / 15:00 ~ 17:00 브레이크타임 / 21:45 라스트오더,1615184494,https://place.map.kakao.com/1615184494,4.3,208,"{""reservation"":true,""delivery"":false,""accessible"":false,""takeout"":false,""parking"":true,""pets"":false,""wifi"":false}",서울 강남구 도산대로55길 23 1층 우정 (청담동 85-13),official_description,
14,14화,2022-05-13,성시경의 먹을텐데 l 방화동 교동짬뽕,https://www.youtube.com/watch?v=l4bgfC2WlUY,restaurant,mogeultende_03706306a5e5,방화동교동짬뽕,대한민국,서울 강서구,서울 강서구 금낭화로24나길 21,중국요리,짬뽕,"짬뽕 10,000원 | 파밥 10,000원 | 탕수육(중) 27,000원 | 짬뽕 곱배기 12,000원",37.57725373,126.81575561,02-2665-5778,영업 전,11:00 오픈,수 11:00 ~ 19:30 / 15:30 ~ 17:00 브레이크타임 / 19:30 라스트오더 | 목 11:00 ~ 19:30 / 15:30 ~ 17:00 브레이크타임 / 19:30 라스트오더 | 금 11:00 ~ 19:30 / 15:30 ~ 17:00 브레이크타임 / 19:30 라스트오더 | 토 11:00 ~ 19:30 / 15:30 ~ 17:00 브레이크타임 / 19:30 라스트오더 | 일 11:00 ~ 19:30 / 15:30 ~ 17:00 브레이크타임 / 19:30 라스트오더 | 월 휴무일 | 화 11:00 ~ 19:30 / 15:30 ~ 17:00 브레이크타임 / 19:30 라스트오더,25858128,https://place.map.kakao.com/25858128,4.2,549,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":true,""parking"":true,""pets"":false,""wifi"":true}",서울 강서구 금낭화로24나길 21 이루미팰리스 101호 (방화3동 323-8),official_description,
15,15화,2022-05-17,성시경의 먹을텐데 l 이태원 버거스낵,https://www.youtube.com/watch?v=bkdYYIBe0PM,restaurant,mogeultende_eed182af0733,버거스낵,대한민국,서울 용산구,서울 용산구 녹사평대로46길 13,햄버거,더블치즈버거,"더블치즈버거 12,000원 | 치즈버거 8,000원",37.53731779,126.98762183,,영업 전,11:00 오픈,수 11:00 ~ 21:00 / 13:00 ~ 18:00 브레이크타임 | 목 11:00 ~ 21:00 / 13:00 ~ 18:00 브레이크타임 | 금 11:00 ~ 21:00 / 13:00 ~ 18:00 브레이크타임 | 토 11:00 ~ 21:00 / 13:00 ~ 18:00 브레이크타임 | 일 11:00 ~ 21:00 / 13:00 ~ 18:00 브레이크타임 | 월 11:00 ~ 21:00 / 13:00 ~ 18:00 브레이크타임 | 화 11:00 ~ 21:00 / 13:00 ~ 18:00 브레이크타임,1927045218,https://place.map.kakao.com/1927045218,4.6,29,"{""reservation"":true,""delivery"":true,""accessible"":false,""takeout"":true,""parking"":false,""pets"":true,""wifi"":true}",서울 용산구 녹사평대로46길 13 (이태원동 565),official_description,
16,16화,2022-05-20,성시경의 먹을텐데 l 희은 선배님과 히말라야 어죽,https://www.youtube.com/watch?v=mfOg_DvzijY,restaurant,mogeultende_1681d8fe90b9,히말라야 어죽,대한민국,서울 마포구,서울 마포구 도화길 20-6 (도화동 329),해산물,"어죽, 파김치 붕장어 전골, 우럭구이, 닭볶음탕","어죽 15,000원 | 파김치 붕장어 전골 58,000원 | 우럭구이 76,000원 | 닭볶음탕 48,000원",,,,,,,,,,,{},서울 마포구 도화길 20-6 (도화동 329),official_description,
17,17화,2022-05-24,성시경의 먹을텐데 l 맛 좋은 순대국,https://www.youtube.com/watch?v=P6sEVRj87gQ,restaurant,mogeultende_af4b7408f163,맛좋은순대국,대한민국,서울 광진구,서울 광진구 자양번영로1길 22,순대,순대국밥,"순대국밥 10,000원 | 술국 20,000원 | 내장 20,000원 | 머리고기 20,000원",37.53086502,127.07367769,02-458-5737,영업 전,11:00 오픈,수 11:00 ~ 21:00 / 14:00 ~ 17:00 브레이크타임 | 목 11:00 ~ 21:00 / 14:00 ~ 17:00 브레이크타임 | 금 11:00 ~ 21:00 / 14:00 ~ 17:00 브레이크타임 | 토 11:00 ~ 21:00 / 14:00 ~ 17:00 브레이크타임 | 일 휴무일 | 월 11:00 ~ 21:00 / 14:00 ~ 17:00 브레이크타임 | 화 11:00 ~ 21:00 / 14:00 ~ 17:00 브레이크타임,10346328,https://place.map.kakao.com/10346328,3.9,138,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":false,""parking"":false,""pets"":false,""wifi"":false}",서울 광진구 자양번영로1길 22 (자양동 585-19),official_description,
18,18화,2022-06-03,성시경의 먹을텐데 l 파주 반구정 나루터집,https://www.youtube.com/watch?v=0TaXOZFxmn4,restaurant,mogeultende_4aac2d479de3,반구정나루터집,대한민국,경기 파주시,경기 파주시 문산읍 반구정로85번길 13,장어,국내산 장어 간장구이 (1인분),"국내산 장어 간장구이 (1인분) 60,000원 | 국내산 장어 소금구이 (1인분) 60,000원 | 국내산 메기매운탕(대) 70,000원 | 국내산 메기매운탕(중) 60,000원",37.8683994,126.75178788,031-952-3472,영업 전,11:30 오픈,수 11:30 ~ 22:00 / 21:00 라스트오더 | 목 11:30 ~ 22:00 / 21:00 라스트오더 | 금 11:30 ~ 22:00 / 21:00 라스트오더 | 토 11:30 ~ 22:00 / 21:00 라스트오더 | 일 11:30 ~ 22:00 / 21:00 라스트오더 | 월 11:30 ~ 22:00 / 21:00 라스트오더 | 화 11:30 ~ 22:00 / 21:00 라스트오더,7897203,https://place.map.kakao.com/7897203,3.3,496,"{""reservation"":true,""delivery"":false,""accessible"":true,""takeout"":true,""parking"":true,""pets"":false,""wifi"":false}",경기 파주시 문산읍 반구정로85번길 13 (사목리 208-2),official_description,
19,19화,2022-06-07,성시경의 먹을텐데 l 종로 서린낙지,https://www.youtube.com/watch?v=YfEY2fPIw8s,restaurant,mogeultende_fd705f2198ab,서린낙지,대한민국,서울 종로구,서울 종로구 종로 19,"해물,생선",낙지볶음,"낙지볶음 24,000원 | 계란말이 8,000원 | 베이컨쏘세지 18,000원 | 조개탕 17,000원",37.57059603,126.98014085,02-735-0670,영업 전,11:30 오픈,수 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임 | 목 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임 | 금 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임 | 토 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임 | 일 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임 | 월 휴무일 | 화 11:30 ~ 21:30 / 15:00 ~ 17:00 브레이크타임,7937472,https://place.map.kakao.com/7937472,3,38,"{""reservation"":true,""delivery"":false,""accessible"":true,""takeout"":true,""parking"":true,""pets"":false,""wifi"":true}",서울 종로구 종로 19 르메이에르종로타운1 2층 (종로1가 24),official_description,
20,20화,2022-06-10,성시경의 먹을텐데 l 충무로 필동면옥,https://www.youtube.com/watch?v=EnMwZlMLPWY,restaurant,mogeultende_8efea5a53d6d,필동면옥,대한민국,서울 중구,서울 중구 서애로 26,냉면,냉면,"냉면 15,000원 | 비빔냉면 15,000원 | 만두국 15,000원 | 제육 30,000원",37.56039838,126.99693959,02-2266-2611,영업 전,11:00 오픈,수 11:00 ~ 20:00 / 15:00 ~ 17:00 브레이크타임 / 19:20 라스트오더 | 목 11:00 ~ 20:00 / 15:00 ~ 17:00 브레이크타임 / 19:20 라스트오더 | 금 11:00 ~ 20:00 / 15:00 ~ 17:00 브레이크타임 / 19:20 라스트오더 | 토 11:00 ~ 20:00 / 15:00 ~ 17:00 브레이크타임 / 19:20 라스트오더 | 일 휴무일 | 월 11:00 ~ 20:00 / 15:00 ~ 17:00 브레이크타임 / 19:20 라스트오더 | 화 11:00 ~ 20:00 / 15:00 ~ 17:00 브레이크타임 / 19:20 라스트오더,11231325,https://place.map.kakao.com/11231325,3.7,1659,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":false,""parking"":true,""pets"":false,""wifi"":false}",서울 중구 서애로 26 (필동3가 1-5),official_description,
21,21화,2022-06-14,성시경의 먹을텐데 l 신사 영동 설렁탕,https://www.youtube.com/watch?v=fR2z8JyBb44,restaurant,mogeultende_a2603c44eb18,영동설렁탕,대한민국,서울 서초구,서울 서초구 강남대로101안길 24,설렁탕,수육,"수육 52,000원 | 설렁탕 15,000원",37.51615083,127.01737205,02-543-4716,영업 중,24시간 영업,수 00:00 ~ 24:00 / 15:00 ~ 17:00 브레이크타임 | 목 00:00 ~ 24:00 / 15:00 ~ 17:00 브레이크타임 | 금 00:00 ~ 24:00 / 15:00 ~ 17:00 브레이크타임 | 토 00:00 ~ 24:00 / 15:00 ~ 17:00 브레이크타임 | 일 00:00 ~ 24:00 / 15:00 ~ 17:00 브레이크타임 | 월 00:00 ~ 24:00 / 15:00 ~ 17:00 브레이크타임 | 화 00:00 ~ 24:00 / 15:00 ~ 17:00 브레이크타임,8008344,https://place.map.kakao.com/8008344,3.6,589,"{""reservation"":true,""delivery"":false,""accessible"":true,""takeout"":true,""parking"":true,""pets"":false,""wifi"":false}",서울 서초구 강남대로101안길 24 (잠원동 10-53),official_description,
22,22화,2022-06-17,성시경의 먹을텐데 l 약수 완도 전복,https://www.youtube.com/watch?v=ZKOYAQXVhaA,restaurant,mogeultende_1e6e35c19f83,완도전복,대한민국,서울 중구,서울 중구 동호로5길 2,"굴,전복","전복죽, 전복회, 전복구이, 전복버터구이","전복죽 15,000원 | 전복회 13,000원부터 | 전복구이 13,000원부터 | 전복버터구이 13,000원부터",37.55265735,127.01199932,02-2234-8538,,,,10616945,https://place.map.kakao.com/10616945,4.1,19,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":false,""parking"":false,""pets"":false,""wifi"":false}",서울 중구 동호로5길 2 (신당동 373-129),official_description,
23,23화,2022-06-24,성시경의 먹을텐데 l 논현 성천막국수,https://www.youtube.com/watch?v=V0QUgTpLTwo,restaurant,mogeultende_d6d830b8053b,성천막국수 논현점,대한민국,서울 서초구,서울 서초구 강남대로 545-12,국수,물막국수,"물막국수 9,000원 | 비빔막국수 9,000원 | 제육한접시(160g) 13,000원 | 제육반접시(80g) 6,500원",37.51037037,127.02058516,02-548-5529,영업 전,11:30 오픈,수 11:30 ~ 21:00 / 15:00 ~ 17:00 브레이크타임 / 14:30 라스트오더 / 20:30 라스트오더 | 목 11:30 ~ 21:00 / 15:00 ~ 17:00 브레이크타임 / 14:30 라스트오더 / 20:30 라스트오더 | 금 제헌절 휴무 | 토 11:30 ~ 19:00 / 18:30 라스트오더 | 일 휴무일 | 월 11:30 ~ 21:00 / 15:00 ~ 17:00 브레이크타임 / 14:30 라스트오더 / 20:30 라스트오더 | 화 11:30 ~ 21:00 / 15:00 ~ 17:00 브레이크타임 / 14:30 라스트오더 / 20:30 라스트오더,862508200,https://place.map.kakao.com/862508200,3.7,351,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":true,""parking"":false,""pets"":false,""wifi"":true}",서울 서초구 강남대로 545-12 106호 (반포동 706-6),official_description,
